trial_id,config,failure_type,t_failure,t_dns_updated,detection_latency_s,t_recovery_detected,log_file
test_dry_run,B,vm_failure,N/A,N/A,N/A,N/A,logs/ctrl_test_dry_run_B_vm_failure_20260404_185528.log
B_VM_01,B,vm_failure,2026-04-04T20:29:47.237953,N/A,N/A,N/A,logs/ctrl_B_VM_01_B_vm_failure_20260404_202700.log
B_VM_01,B,vm_failure,2026-04-04T20:52:46.818513,2026-04-04T20:53:29.421883,42.603,N/A,logs/ctrl_B_VM_01_B_vm_failure_20260404_204843.log
B_VM_02,B,vm_failure,2026-04-05T16:48:31.742756,2026-04-05T16:49:24.789724,53.047,N/A,logs/ctrl_B_VM_02_B_vm_failure_20260405_164821.log
B_VM_02,B,vm_failure,2026-04-05T16:57:49.164691,2026-04-05T16:58:31.615098,42.45,N/A,logs/ctrl_B_VM_02_B_vm_failure_20260405_165609.log
B_VM_03,B,vm_failure,2026-04-05T17:10:17.721796,2026-04-05T17:11:00.088021,42.366,N/A,logs/ctrl_B_VM_03_B_vm_failure_20260405_170853.log
B_VM_04,B,vm_failure,2026-04-05T17:22:18.420560,2026-04-05T17:23:00.437033,42.016,N/A,logs/ctrl_B_VM_04_B_vm_failure_20260405_172039.log
B_VM_05,B,vm_failure,2026-04-05T17:32:40.774963,2026-04-05T17:33:22.978896,42.204,N/A,logs/ctrl_B_VM_05_B_vm_failure_20260405_173117.log
B_APP_01,B,app_failure,2026-04-05T17:43:28.639521,2026-04-05T17:44:07.609067,38.97,N/A,logs/ctrl_B_APP_01_B_app_failure_20260405_174206.log
B_APP_02,B,app_failure,2026-04-05T17:50:31.235392,2026-04-05T17:51:10.015661,38.78,N/A,logs/ctrl_B_APP_02_B_app_failure_20260405_174909.log
B_APP_03,B,app_failure,2026-04-05T17:56:10.834023,2026-04-05T17:56:49.443306,38.609,N/A,logs/ctrl_B_APP_03_B_app_failure_20260405_175503.log
B_APP_04,B,app_failure,2026-04-05T18:02:31.678742,2026-04-05T18:03:09.664998,37.986,N/A,logs/ctrl_B_APP_04_B_app_failure_20260405_180125.log
B_APP_05,B,app_failure,2026-04-05T18:09:32.633785,2026-04-05T18:10:11.912095,39.278,N/A,logs/ctrl_B_APP_05_B_app_failure_20260405_180810.log
A_VM_01,A,vm_failure,2026-04-05T18:15:10.252266,2026-04-05T18:15:20.014180,9.762,N/A,logs/ctrl_A_VM_01_A_vm_failure_20260405_181438.log
A_VM_01,A,vm_failure,2026-04-05T18:19:06.629535,2026-04-05T18:19:17.712787,11.083,N/A,logs/ctrl_A_VM_01_A_vm_failure_20260405_181806.log
A_VM_02,A,vm_failure,2026-04-05T18:31:23.078348,2026-04-05T18:31:34.186812,11.108,N/A,logs/ctrl_A_VM_02_A_vm_failure_20260405_183048.log
A_VM_03,A,vm_failure,2026-04-05T18:39:04.828175,2026-04-05T18:39:15.953302,11.125,N/A,logs/ctrl_A_VM_03_A_vm_failure_20260405_183832.log
A_VM_04,A,vm_failure,2026-04-05T18:48:09.658162,2026-04-05T18:48:19.858849,10.201,N/A,logs/ctrl_A_VM_04_A_vm_failure_20260405_184737.log
A_VM_05,A,vm_failure,2026-04-05T18:53:16.821986,2026-04-05T18:53:26.860207,10.038,N/A,logs/ctrl_A_VM_05_A_vm_failure_20260405_185244.log
A_APP_01,A,app_failure,2026-04-05T18:59:13.478466,2026-04-05T18:59:23.930632,10.452,N/A,logs/ctrl_A_APP_01_A_app_failure_20260405_185840.log
A_APP_02,A,app_failure,2026-04-05T19:06:29.089438,2026-04-05T19:06:39.128798,10.039,N/A,logs/ctrl_A_APP_02_A_app_failure_20260405_190607.log
A_APP_03,A,app_failure,2026-04-05T19:20:05.321357,N/A,N/A,N/A,logs/ctrl_A_APP_03_A_app_failure_20260405_192001.log
A_APP_03,A,app_failure,2026-04-05T19:22:09.383775,2026-04-05T19:22:20.596036,11.212,N/A,logs/ctrl_A_APP_03_A_app_failure_20260405_192142.log
A_APP_04,A,app_failure,2026-04-05T19:27:06.341748,N/A,N/A,N/A,logs/ctrl_A_APP_04_A_app_failure_20260405_192702.log
A_APP_04,A,app_failure,2026-04-05T19:27:59.637853,2026-04-05T19:28:10.187676,10.55,N/A,logs/ctrl_A_APP_04_A_app_failure_20260405_192731.log
A_APP_05,A,app_failure,2026-04-05T19:33:06.161316,2026-04-05T19:33:16.871526,10.71,N/A,logs/ctrl_A_APP_05_A_app_failure_20260405_193239.log
C_VM_01,C,vm_failure,2026-04-05T19:40:06.267859,2026-04-05T19:42:49.602261,163.334,N/A,logs/ctrl_C_VM_01_C_vm_failure_20260405_193924.log
C_VM_02,C,vm_failure,2026-04-05T19:51:26.922461,2026-04-05T19:54:10.459860,163.537,N/A,logs/ctrl_C_VM_02_C_vm_failure_20260405_195014.log
C_VM_03,C,vm_failure,2026-04-05T20:01:38.456143,2026-04-05T20:04:21.787388,163.331,N/A,logs/ctrl_C_VM_03_C_vm_failure_20260405_200026.log
C_VM_04,C,vm_failure,2026-04-05T20:12:26.918398,2026-04-05T20:15:10.451944,163.534,N/A,logs/ctrl_C_VM_04_C_vm_failure_20260405_201114.log
C_VM_05,C,vm_failure,2026-04-05T20:22:27.533189,2026-04-05T20:25:12.204152,164.671,N/A,logs/ctrl_C_VM_05_C_vm_failure_20260405_202115.log
C_APP_01,C,app_failure,2026-04-05T20:37:36.518564,2026-04-05T20:39:50.891835,134.373,N/A,logs/ctrl_C_APP_01_C_app_failure_20260405_203559.log
C_APP_02,C,app_failure,2026-04-05T20:46:23.318316,2026-04-05T20:48:34.364195,131.046,N/A,logs/ctrl_C_APP_02_C_app_failure_20260405_204548.log
C_APP_03,C,app_failure,2026-04-05T20:55:45.516625,2026-04-05T20:57:58.893329,133.377,N/A,logs/ctrl_C_APP_03_C_app_failure_20260405_205439.log
C_APP_04,C,app_failure,2026-04-05T21:05:24.842807,2026-04-05T21:07:35.201508,130.359,N/A,logs/ctrl_C_APP_04_C_app_failure_20260405_210347.log
C_APP_05,C,app_failure,2026-04-05T21:15:52.399677,2026-04-05T21:18:02.815994,130.416,N/A,logs/ctrl_C_APP_05_C_app_failure_20260405_211446.log
